Port Name,State,Port Code,Border,Date,Measure,Value
San Ysidro,California,2504,US-Mexico Border,May 2020,Personal Vehicle Passengers,1019554
San Ysidro,California,2504,US-Mexico Border,May 2020,Personal Vehicles,716006
San Ysidro,California,2504,US-Mexico Border,Apr 2020,Bus Passengers,1896
San Ysidro,California,2504,US-Mexico Border,Apr 2020,Buses,1428
San Ysidro,California,2504,US-Mexico Border,Apr 2020,Pedestrians,196739
San Ysidro,California,2504,US-Mexico Border,Apr 2020,Personal Vehicle Passengers,835167
San Ysidro,California,2504,US-Mexico Border,Apr 2020,Personal Vehicles,618579
San Ysidro,California,2504,US-Mexico Border,Mar 2020,Bus Passengers,4699
San Ysidro,California,2504,US-Mexico Border,Mar 2020,Buses,3140
San Ysidro,California,2504,US-Mexico Border,Mar 2020,Pedestrians,541519
San Ysidro,California,2504,US-Mexico Border,Mar 2020,Personal Vehicle Passengers,1621349
San Ysidro,California,2504,US-Mexico Border,Mar 2020,Personal Vehicles,1050632
San Ysidro,California,2504,US-Mexico Border,Feb 2020,Bus Passengers,8225
San Ysidro,California,2504,US-Mexico Border,Feb 2020,Buses,3844
San Ysidro,California,2504,US-Mexico Border,Feb 2020,Pedestrians,775305
San Ysidro,California,2504,US-Mexico Border,Feb 2020,Personal Vehicle Passengers,2144131
San Ysidro,California,2504,US-Mexico Border,Feb 2020,Personal Vehicles,1311967
San Ysidro,California,2504,US-Mexico Border,Jan 2020,Bus Passengers,8608
San Ysidro,California,2504,US-Mexico Border,Jan 2020,Buses,3840
San Ysidro,California,2504,US-Mexico Border,Jan 2020,Pedestrians,831154
San Ysidro,California,2504,US-Mexico Border,Jan 2020,Personal Vehicle Passengers,2298003
San Ysidro,California,2504,US-Mexico Border,Jan 2020,Personal Vehicles,1391251
San Ysidro,California,2504,US-Mexico Border,Dec 2019,Bus Passengers,9243
San Ysidro,California,2504,US-Mexico Border,Dec 2019,Buses,4422
San Ysidro,California,2504,US-Mexico Border,Dec 2019,Pedestrians,888107
San Ysidro,California,2504,US-Mexico Border,Dec 2019,Personal Vehicle Passengers,2470347
San Ysidro,California,2504,US-Mexico Border,Dec 2019,Personal Vehicles,1387858
San Ysidro,California,2504,US-Mexico Border,Nov 2019,Bus Passengers,2138
San Ysidro,California,2504,US-Mexico Border,Nov 2019,Buses,920
San Ysidro,California,2504,US-Mexico Border,Nov 2019,Pedestrians,891409
San Ysidro,California,2504,US-Mexico Border,Nov 2019,Personal Vehicle Passengers,2198715
San Ysidro,California,2504,US-Mexico Border,Nov 2019,Personal Vehicles,1260915
San Ysidro,California,2504,US-Mexico Border,Oct 2019,Bus Passengers,9534
San Ysidro,California,2504,US-Mexico Border,Oct 2019,Buses,3627
San Ysidro,California,2504,US-Mexico Border,Oct 2019,Pedestrians,915886
San Ysidro,California,2504,US-Mexico Border,Oct 2019,Personal Vehicle Passengers,2256125
San Ysidro,California,2504,US-Mexico Border,Oct 2019,Personal Vehicles,1337143
San Ysidro,California,2504,US-Mexico Border,Sep 2019,Bus Passengers,6983
San Ysidro,California,2504,US-Mexico Border,Sep 2019,Buses,3582
San Ysidro,California,2504,US-Mexico Border,Sep 2019,Pedestrians,867461
San Ysidro,California,2504,US-Mexico Border,Sep 2019,Personal Vehicle Passengers,2194994
San Ysidro,California,2504,US-Mexico Border,Sep 2019,Personal Vehicles,1263831
San Ysidro,California,2504,US-Mexico Border,Aug 2019,Bus Passengers,6279
San Ysidro,California,2504,US-Mexico Border,Aug 2019,Buses,3143
San Ysidro,California,2504,US-Mexico Border,Aug 2019,Pedestrians,976116
San Ysidro,California,2504,US-Mexico Border,Aug 2019,Personal Vehicle Passengers,2260539
San Ysidro,California,2504,US-Mexico Border,Aug 2019,Personal Vehicles,1288909
San Ysidro,California,2504,US-Mexico Border,Jul 2019,Bus Passengers,7052
San Ysidro,California,2504,US-Mexico Border,Jul 2019,Buses,3324
